Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,11696,5000,0.3000,4287,35907,451.33
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,11696,5000,0.3000,4287,11418,465.82
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,11696,5000,0.3000,4287,20555,1316.38
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3196,0,0.3500,1596,4918,104.42
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3196,0,0.3500,1596,1231,295.30
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3196,0,0.3500,1596,1932,562.90
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3696,500,0.3500,1608,4515,252.49
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3696,500,0.3500,1608,1094,236.70
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3696,500,0.3500,1608,1696,636.83
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,4696,1000,0.3500,1479,4973,266.95
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,4696,1000,0.3500,1479,1390,265.65
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,4696,1000,0.3500,1479,2018,784.76
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,6696,2000,0.3500,1552,7811,324.28
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,6696,2000,0.3500,1552,2231,353.42
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,6696,2000,0.3500,1552,3483,968.98
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,11696,5000,0.3500,1519,12576,463.58
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,11696,5000,0.3500,1519,5712,799.89
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,11696,5000,0.3500,1519,8461,1317.53
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3196,0,0.4000,679,1990,144.15
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3196,0,0.4000,679,447,133.55
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3196,0,0.4000,679,900,417.10
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3696,500,0.4000,686,1814,262.11
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3696,500,0.4000,686,653,262.27
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3696,500,0.4000,686,1166,704.20
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,4696,1000,0.4000,656,2369,278.94
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,4696,1000,0.4000,656,756,287.06
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,4696,1000,0.4000,656,1382,858.62
