Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,6896,500,0.2000,359,1339,180.31
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,6896,500,0.2000,359,612,189.01
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,6896,500,0.2000,359,1111,530.49
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3696,500,0.3000,921,1311,172.08
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3696,500,0.3000,921,571,203.01
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3696,500,0.3000,921,1103,470.66
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,6896,0,0.8000,0,68,45.03
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,6896,0,0.8000,0,77,32.99
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,6896,0,0.8000,0,53,48.99
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3696,0,0.5000,24,452,60.81
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3696,0,0.5000,24,170,31.67
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3696,0,0.5000,24,177,53.35
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,6896,0,0.0800,28318,23583,181.02
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,6896,0,0.0800,28318,8823,432.15
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,6896,0,0.0800,28318,21252,1110.42
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,6896,0,0.0700,49697,38222,210.41
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,6896,0,0.0700,49697,16395,433.91
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,6896,0,0.0700,49697,36853,1110.39
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,7396,500,0.8000,0,100,58.28
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,7396,500,0.8000,0,74,44.21
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,7396,500,0.8000,0,56,60.21
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,7396,0,0.0800,21304,19600,187.40
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,7396,0,0.0800,21304,7050,435.27
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,7396,0,0.0800,21304,18083,1217.32
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,7396,0,0.0700,37548,35086,160.49
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,7396,0,0.0700,37548,13331,478.22
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,7396,0,0.0700,37548,31702,1284.61
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,6620,360.53
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,2255,620.00
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,4228,750.25
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess.txt,6696,0,0.2000,402,1637,179.96
Inc-CHARM (Vertical Incremental),datasets/dataset-chess.txt,6696,0,0.2000,402,753,189.15
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess.txt,6696,0,0.2000,402,1234,463.86
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,6749,173.41
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,2445,500.86
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3696,0,0.2000,6838,4431,908.09
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess.txt,6696,0,0.2000,402,1243,179.45
Inc-CHARM (Vertical Incremental),datasets/dataset-chess.txt,6696,0,0.2000,402,674,183.20
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess.txt,6696,0,0.2000,402,1177,493.99
